Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Batman,"$682,200,000","$341,300,000",50%,"$340,900,000",50%
2,Water Gate Bridge,"$626,203,271","$117,294",<0.1%,"$626,085,977",100%
3,Uncharted,"$360,222,735","$136,322,735",37.8%,"$223,900,000",62.2%
4,Too Cool to Kill,"$217,255,728","$185,882",<0.1%,"$217,069,846",99.9%
5,Nice View,"$211,009,885",-,-,"$211,009,885",100%
6,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
7,Death on the Nile,"$134,630,485","$45,266,621",33.6%,"$89,363,864",66.4%
8,Jackass Forever,"$79,243,451","$57,743,451",72.9%,"$21,500,000",27.1%
9,Dog,"$71,494,891","$59,179,382",82.8%,"$12,315,509",17.2%
10,Marry Me,"$49,137,180","$22,438,180",45.7%,"$26,699,000",54.3%
11,The Lost City,"$47,780,572","$44,080,572",92.3%,"$3,700,000",7.7%
12,Moonfall,"$41,555,958","$19,060,660",45.9%,"$22,495,298",54.1%
13,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
14,The 355,"$27,608,659","$14,570,455",52.8%,"$13,038,204",47.2%
15,The Kashmir Files,"$24,725,676","$1,485,000",6%,"$23,240,676",94%
16,The Confidence Man JP: Episode of the Hero,"$23,100,870",-,-,"$23,100,870",100%
17,Morbius,"$17,100,000","$17,100,000",100%,-,-
18,The Bad Guys,"$16,772,000",-,-,"$16,772,000",100%
19,Radhe Shyam,"$15,975,683","$1,860,000",11.6%,"$14,115,683",88.4%
20,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
21,Blacklight,"$15,107,377","$9,591,094",63.5%,"$5,516,283",36.5%
22,Maison de retraite,"$14,718,254",-,-,"$14,718,254",100%
23,Super-héros malgré lui,"$14,548,576",-,-,"$14,548,576",100%
24,Wunderschön,"$13,935,344",-,-,"$13,935,344",100%
25,Valimai,"$13,276,393",-,-,"$13,276,393",100%
26,Ambulance,"$12,795,000",-,-,"$12,795,000",100%
27,The Last 10 Years,"$12,515,780",-,-,"$12,515,780",100%
28,RRR,"$11,470,154","$9,942,000",86.7%,"$1,528,154",13.3%
29,Turning Red,"$11,285,214",-,-,"$11,285,214",100%
30,X,"$10,306,629","$9,702,800",94.1%,"$603,829",5.9%
31,The Pirates: The Last Royal Treasure,"$10,266,142",-,-,"$10,266,142",100%
32,Vaillante,"$9,999,092",-,-,"$9,999,092",100%
33,Doraemon the Movie: Nobita's Little Star Wars 2021,"$9,992,175",-,-,"$9,992,175",100%
34,Bergen,"$9,782,807",-,-,"$9,782,807",100%
35,Redeeming Love,"$9,436,988","$9,214,020",97.6%,"$222,968",2.4%
36,The Duke,"$7,179,736",-,-,"$7,179,736",100%
37,Cyrano,"$6,276,021","$3,849,448",61.3%,"$2,426,573",38.7%
38,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
39,I've Heard the Mermaids Singing 2022 Re-release,"$5,953,730","$5,953,730",100%,-,-
40,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
41,Adieu Monsieur Haffmann,"$5,834,933",-,-,"$5,834,933",100%
42,Bheeshma Parvam,"$5,774,477",-,-,"$5,774,477",100%
43,Chickenhare and the Hamster of Darkness,"$5,575,570",-,-,"$5,575,570",100%
44,The Cherry Bushido,"$5,122,729","$17,586",0.3%,"$5,105,143",99.7%
45,The Cursed,"$4,588,389","$4,588,389",100%,-,-
46,Goliath,"$4,507,683",-,-,"$4,507,683",100%
47,Waiting for Bojangles,"$4,486,894",-,-,"$4,486,894",100%
48,Pawankhind,"$4,260,686",-,-,"$4,260,686",100%
49,The Godfather 2022 Re-release,"$4,214,662","$1,414,662",33.6%,"$2,800,000",66.4%
50,Maigret,"$4,140,540",-,-,"$4,140,540",100%
51,Koniec swiata czyli Kogel Mogel 4,"$3,957,350",-,-,"$3,957,350",100%
52,Notre Dame on Fire,"$3,881,725",-,-,"$3,881,725",100%
53,Un Autre Monde,"$3,682,569",-,-,"$3,682,569",100%
