Rank,Release Group,Worldwide,Domestic,%,Foreign,%
54,Stunt Rock 2022 Re-release,"$3,675,500","$3,675,500",100%,-,-
55,Permis de construire,"$3,654,222",-,-,"$3,654,222",100%
56,Beautiful Minds,"$3,653,398",-,-,"$3,653,398",100%
57,Special Delivery,"$3,536,617",-,-,"$3,536,617",100%
58,King,"$3,527,348",-,-,"$3,527,348",100%
59,Belli ciao,"$3,423,873",-,-,"$3,423,873",100%
60,Between Two Worlds,"$3,319,693",-,-,"$3,319,693",100%
61,Etharkkum Thunindhavan,"$3,266,724",-,-,"$3,266,724",100%
62,Ox-Head Village,"$3,250,402",-,-,"$3,250,402",100%
63,Gangubai Kathiawadi,"$3,192,000","$592,000",18.5%,"$2,600,000",81.5%
64,The Outfit,"$3,088,865","$3,088,865",100%,-,-
65,In Our Prime,"$3,026,664",-,-,"$3,026,664",100%
66,Studio 666,"$3,000,776","$2,513,963",83.8%,"$486,813",16.2%
67,Disobedient,"$2,999,699",-,-,"$2,999,699",100%
68,The Young Lovers,"$2,955,577",-,-,"$2,955,577",100%
69,Chia Khoa Tram Ty,"$2,851,565",-,-,"$2,851,565",100%
70,What to Do with the Dead Kaiju?,"$2,827,966",-,-,"$2,827,966",100%
71,¡Qué Despadre!,"$2,681,505",-,-,"$2,681,505",100%
72,The Wannabes,"$2,627,605",-,-,"$2,627,605",100%
73,Mister Knockout,"$2,627,312",-,-,"$2,627,312",100%
74,The Glance of Music,"$2,626,884",-,-,"$2,626,884",100%
75,Chuyen Ma Gan Nhà,"$2,569,119",-,-,"$2,569,119",100%
76,Promises,"$2,533,430",-,-,"$2,533,430",100%
77,Fireheart,"$2,367,175",-,-,"$2,367,175",100%
78,The Exorcism of God,"$2,326,829",-,-,"$2,326,829",100%
79,Ensemble Stars!! Road to Show!!,"$2,287,844",-,-,"$2,287,844",100%
80,The Beatles: Get Back - The Rooftop Concert,"$2,196,819","$976,712",44.5%,"$1,220,107",55.5%
81,Around the World in 80 Days,"$2,164,782",-,-,"$2,164,782",100%
82,Desperate for Marriage,"$2,121,225",-,-,"$2,121,225",100%
83,Tajemství staré bambitky 2,"$2,109,758",-,-,"$2,109,758",100%
84,The Grandmother,"$1,992,762",-,-,"$1,992,762",100%
85,The Beatles: Get Back,"$1,948,328",-,-,"$1,948,328",100%
86,Umma,"$1,940,772","$1,940,772",100%,-,-
87,Heart of Oak,"$1,924,386",-,-,"$1,924,386",100%
88,Wedding High,"$1,908,598",-,-,"$1,908,598",100%
89,Aslan: Hürkus kayip Elmas,"$1,883,289",-,-,"$1,883,289",100%
90,Love Mocktail 2,"$1,845,639",-,-,"$1,845,639",100%
91,2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary 2022 Oscar Nominated Short Films,"$1,773,695","$1,773,695",100%,-,-
92,The King's Daughter,"$1,758,963","$1,758,963",100%,-,-
93,Hridayam,"$1,740,483",-,-,"$1,740,483",100%
94,"Love, Sex & Pandemic","$1,712,634",-,-,"$1,712,634",100%
95,Kamen Rider OOO 10th: The Core Medals of Resurrection,"$1,675,005",-,-,"$1,675,005",100%
96,Aaraattu,"$1,648,155",-,-,"$1,648,155",100%
97,Undercover,"$1,601,934",-,-,"$1,601,934",100%
98,Corro da te,"$1,556,297",-,-,"$1,556,297",100%
99,Gierek,"$1,531,831",-,-,"$1,531,831",100%
100,For Ziko,"$1,526,578",-,-,"$1,526,578",100%
101,Alors on danse,"$1,500,048",-,-,"$1,500,048",100%
102,V lete ti poviem,"$1,478,352",-,-,"$1,478,352",100%
103,Odinnadtsat molchalivykh muzhchin,"$1,441,135",-,-,"$1,441,135",100%
104,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
105,The Ancestral,"$1,321,438",-,-,"$1,321,438",100%
106,Nhà Khong Bán,"$1,271,932",-,-,"$1,271,932",100%
107,Dilberay Küçük Dev Kadin,"$1,244,893",-,-,"$1,244,893",100%
108,Heart to Heart,"$1,207,696",-,-,"$1,207,696",100%
109,Finnick,"$1,198,928",-,-,"$1,198,928",100%
110,Swingers,"$1,168,817",-,-,"$1,168,817",100%
111,A Radiant Girl,"$1,154,112",-,-,"$1,154,112",100%
112,Badhaai Do,"$1,138,046",-,-,"$1,138,046",100%
113,Infinite Storm,"$1,107,577","$1,107,577",100%,-,-
114,1990,"$1,106,702",-,-,"$1,106,702",100%
115,Le temps des secrets,"$1,094,929",-,-,"$1,094,929",100%
116,Full Time,"$1,035,135",-,-,"$1,035,135",100%
117,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
118,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
119,The Tiger Rising,"$1,013,831","$835,162",82.4%,"$178,669",17.6%
120,Malnazidos,"$1,013,332",-,-,"$1,013,332",100%
121,The Midnight Maiden War,"$996,057",-,-,"$996,057",100%
122,Aaja Mexico Challiye,"$981,706",-,-,"$981,706",100%
123,Mali Twist,"$956,475",-,-,"$956,475",100%
124,Leopoldstadt - Nt Live 2022 (Theatre),"$935,181",-,-,"$935,181",100%
125,La brigade,"$917,996",-,-,"$917,996",100%
126,Zero Fucks Given,"$911,235",-,-,"$911,235",100%
127,Hello Jadoo: The Secret of Jeju Island,"$864,899",-,-,"$864,899",100%
128,Everything Everywhere All at Once,"$856,258","$856,258",100%,-,-
129,Usogui,"$855,598",-,-,"$855,598",100%
130,The Family,"$847,236",-,-,"$847,236",100%
131,Krime Story,"$845,412",-,-,"$845,412",100%
132,The Souvenir,"$827,917",-,-,"$827,917",100%
133,My Brothers and I,"$825,312",-,-,"$825,312",100%
134,Kappei,"$821,241",-,-,"$821,241",100%
135,Official Competition,"$813,471",-,-,"$813,471",100%
136,The Contractor,"$808,674",-,-,"$808,674",100%
137,Rabbit Academy,"$788,343",-,-,"$788,343",100%
138,Malnazidos 2022 Re-release,"$779,798",-,-,"$779,798",100%
139,Adieu Paris,"$771,286",-,-,"$771,286",100%
140,Placés,"$759,453",-,-,"$759,453",100%
141,Proyecto Emperador,"$757,254",-,-,"$757,254",100%
142,The Nan Movie,"$744,947",-,-,"$744,947",100%
143,Emergency Situation,"$732,335",-,-,"$732,335",100%
144,FIR,"$709,663",-,-,"$709,663",100%
145,Boiling Point,"$705,045",-,-,"$705,045",100%
146,The Companions,"$704,580",-,-,"$704,580",100%
147,Zlatni decko,"$696,097",-,-,"$696,097",100%
148,America Latina,"$693,818",-,-,"$693,818",100%
149,Meppadiyan,"$691,981",-,-,"$691,981",100%
150,Liubov i blohery,"$677,744",-,-,"$677,744",100%
151,Lynx,"$668,972",-,-,"$668,972",100%
152,The Deer King,"$654,789",-,-,"$654,789",100%
153,Ik wist het,"$644,643",-,-,"$644,643",100%
154,Kaptan Pengu ve Arkadaslari 2,"$643,626",-,-,"$643,626",100%
155,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
156,Zaï Zaï Zaï Zaï,"$622,060",-,-,"$622,060",100%
157,The Blue Skies at Your Feet,"$613,496",-,-,"$613,496",100%
158,The Phantom of the Open,"$601,962",-,-,"$601,962",100%
159,Serve the People,"$562,293",-,-,"$562,293",100%
160,How I Learned to Fly,"$554,178",-,-,"$554,178",100%
161,C'era una volta il crimine,"$540,636",-,-,"$540,636",100%
162,Bangarraju,"$534,735",-,-,"$534,735",100%
163,The Book Of Dust - La Belle Sauvage - Nt Live 2022 (Theatre),"$523,838",-,-,"$523,838",100%
164,Hey Sinamika,"$521,057",-,-,"$521,057",100%
165,Three Times Nothing,"$504,890",-,-,"$504,890",100%
166,Milosc jest blisko,"$504,348",-,-,"$504,348",100%
167,Softie,"$489,094",-,-,"$489,094",100%
168,Ek Love Ya,"$475,499",-,-,"$475,499",100%
169,Murder Party,"$453,590",-,-,"$453,590",100%
170,Betlémské svetlo,"$449,507",-,-,"$449,507",100%
171,Fruits Basket: Prelude,"$434,280",-,-,"$434,280",100%
172,Ali & Ava,"$429,226",-,-,"$429,226",100%
173,Reunion 2,"$417,121",-,-,"$417,121",100%
174,The Chef,"$416,658",-,-,"$416,658",100%
175,Palmyra,"$410,113",-,-,"$410,113",100%
176,"Romeo & Juliet - Roh, London 2022 (Ballet)","$407,787",-,-,"$407,787",100%
177,Petya na moyata Petya,"$403,956",-,-,"$403,956",100%
178,Den slepogo valentina,"$401,338",-,-,"$401,338",100%
179,Prior Convictions,"$394,401",-,-,"$394,401",100%
180,Cuarentones,"$392,895",-,-,"$392,895",100%
181,Papy,"$389,149",-,-,"$389,149",100%
182,Tyson's Run,"$387,450","$387,450",100%,-,-
183,Book of Love,"$377,470",-,-,"$377,470",100%
184,The Path,"$358,527",-,-,"$358,527",100%
185,"Camera Café, la película","$354,051",-,-,"$354,051",100%
186,Alice,"$344,930","$344,930",100%,-,-
187,Nitram,"$344,826",-,-,"$344,826",100%
188,Miyuki Nakajima Live History 2007-2016,"$343,339",-,-,"$343,339",100%
189,The Best Weekend,"$342,002",-,-,"$342,002",100%
190,Brother,"$335,148",-,-,"$335,148",100%
191,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
192,Un Rabón con Corazón,"$321,899",-,-,"$321,899",100%
193,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
194,Clean,"$318,877","$318,877",100%,-,-
195,Last Looks,"$317,258",-,-,"$317,258",100%
196,Bachchhan Paandey,"$310,120",-,-,"$310,120",100%
197,L'ombra del giorno,"$308,477",-,-,"$308,477",100%
198,Candlelight Revolution,"$304,558",-,-,"$304,558",100%
199,Nobody's Hero,"$304,037",-,-,"$304,037",100%
200,Shattered,"$302,296",-,-,"$302,296",100%
