Rank,Release Group,Worldwide,Domestic,%,Foreign,%
86,Nhà Khong Bán,"$1,271,932",-,-,"$1,271,932",100%
87,Heart of Oak,"$1,169,470",-,-,"$1,169,470",100%
88,Swingers,"$1,168,817",-,-,"$1,168,817",100%
89,A Radiant Girl,"$1,154,112",-,-,"$1,154,112",100%
90,Desperate for Marriage,"$1,139,810",-,-,"$1,139,810",100%
91,Badhaai Do,"$1,138,046",-,-,"$1,138,046",100%
92,Heart to Heart,"$1,134,626",-,-,"$1,134,626",100%
93,1990,"$1,106,702",-,-,"$1,106,702",100%
94,Odinnadtsat molchalivykh muzhchin,"$1,040,803",-,-,"$1,040,803",100%
95,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
96,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
97,Aaja Mexico Challiye,"$959,739",-,-,"$959,739",100%
98,Mali Twist,"$956,475",-,-,"$956,475",100%
99,Leopoldstadt - Nt Live 2022 (Theatre),"$915,593",-,-,"$915,593",100%
100,Umma,"$915,000","$915,000",100%,-,-
101,The Tiger Rising,"$882,128","$835,162",94.7%,"$46,966",5.3%
102,Hello Jadoo: The Secret of Jeju Island,"$861,162",-,-,"$861,162",100%
103,The Family,"$847,236",-,-,"$847,236",100%
104,Krime Story,"$845,412",-,-,"$845,412",100%
105,The Souvenir,"$827,917",-,-,"$827,917",100%
106,My Brothers and I,"$825,312",-,-,"$825,312",100%
107,Kamen Rider OOO 10th: The Core Medals of Resurrection,"$789,855",-,-,"$789,855",100%
108,Adieu Paris,"$771,286",-,-,"$771,286",100%
109,Placés,"$759,453",-,-,"$759,453",100%
110,FIR,"$709,663",-,-,"$709,663",100%
111,Boiling Point,"$705,045",-,-,"$705,045",100%
112,The Companions,"$704,580",-,-,"$704,580",100%
113,Wedding High,"$695,150",-,-,"$695,150",100%
114,Zlatni decko,"$694,834",-,-,"$694,834",100%
115,America Latina,"$693,818",-,-,"$693,818",100%
116,Meppadiyan,"$691,981",-,-,"$691,981",100%
117,Official Competition,"$678,102",-,-,"$678,102",100%
118,Liubov i blohery,"$677,744",-,-,"$677,744",100%
119,Emergency Situation,"$672,077",-,-,"$672,077",100%
120,Lynx,"$668,972",-,-,"$668,972",100%
121,Kaptan Pengu ve Arkadaslari 2,"$643,626",-,-,"$643,626",100%
122,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
123,Zaï Zaï Zaï Zaï,"$622,060",-,-,"$622,060",100%
124,Zero Fucks Given,"$620,234",-,-,"$620,234",100%
125,Ik wist het,"$582,774",-,-,"$582,774",100%
126,Serve the People,"$555,333",-,-,"$555,333",100%
127,Bangarraju,"$534,735",-,-,"$534,735",100%
128,The Book Of Dust - La Belle Sauvage - Nt Live 2022 (Theatre),"$512,275",-,-,"$512,275",100%
129,Hey Sinamika,"$507,703",-,-,"$507,703",100%
130,Milosc jest blisko,"$504,348",-,-,"$504,348",100%
131,Ek Love Ya,"$475,499",-,-,"$475,499",100%
132,The Chef,"$416,658",-,-,"$416,658",100%
133,"Romeo & Juliet - Roh, London 2022 (Ballet)","$407,787",-,-,"$407,787",100%
134,Den slepogo valentina,"$401,338",-,-,"$401,338",100%
135,How I Learned to Fly,"$372,561",-,-,"$372,561",100%
136,The Path,"$358,527",-,-,"$358,527",100%
137,The Best Weekend,"$353,922",-,-,"$353,922",100%
138,Ali & Ava,"$347,804",-,-,"$347,804",100%
139,Nitram,"$344,826",-,-,"$344,826",100%
140,Etharkkum Thunindhavan,"$339,274",-,-,"$339,274",100%
141,The Contractor,"$337,237",-,-,"$337,237",100%
142,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
143,C'era una volta il crimine,"$325,099",-,-,"$325,099",100%
144,Un Rabón con Corazón,"$321,899",-,-,"$321,899",100%
145,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
146,Clean,"$318,877","$318,877",100%,-,-
147,L'ombra del giorno,"$308,477",-,-,"$308,477",100%
148,Candlelight Revolution,"$304,558",-,-,"$304,558",100%
149,Nobody's Hero,"$304,037",-,-,"$304,037",100%
150,Ex,"$298,884",-,-,"$298,884",100%
151,Palmyra,"$292,873",-,-,"$292,873",100%
152,Book of Love,"$289,046",-,-,"$289,046",100%
153,Afacanlar: Is Basa Düstü,"$282,375",-,-,"$282,375",100%
154,Papy,"$271,267",-,-,"$271,267",100%
155,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%
156,The Sadness,"$264,927",-,-,"$264,927",100%
157,Murder Party,"$263,990",-,-,"$263,990",100%
158,Secret Name,"$254,609",-,-,"$254,609",100%
159,I Want to Talk About Duras,"$250,010",-,-,"$250,010",100%
160,A Change of Heart,"$249,827",-,-,"$249,827",100%
161,Last Looks,"$249,315",-,-,"$249,315",100%
162,The Bunker Game,"$240,823",-,-,"$240,823",100%
163,Naai Sekar,"$237,861",-,-,"$237,861",100%
164,Mahlûkat,"$233,197",-,-,"$233,197",100%
165,Hamel El Lakab,"$232,800",-,-,"$232,800",100%
166,Sundown,"$229,922","$229,922",100%,-,-
167,Betlémské svetlo,"$227,015",-,-,"$227,015",100%
168,Cuarentones,"$224,727",-,-,"$224,727",100%
169,Tyson's Run,"$215,000","$215,000",100%,-,-
170,My Wonderful Wanda,"$202,048",-,-,"$202,048",100%
171,Softie,"$198,298",-,-,"$198,298",100%
172,Super Sharanya,"$187,264",-,-,"$187,264",100%
173,Jang Minho Drama,"$185,373",-,-,"$185,373",100%
174,Kung Fu Zohra,"$178,896",-,-,"$178,896",100%
175,The Grandson,"$176,823",-,-,"$176,823",100%
176,Alice,"$176,120","$176,120",100%,-,-
177,Octonauts and the Caves of Sac Actun,"$175,696",-,-,"$175,696",100%
178,BanG Dream! Poppin'Dream!,"$175,529",-,-,"$175,529",100%
179,Black Glasses,"$173,199",-,-,"$173,199",100%
180,Rosy,"$170,246",-,-,"$170,246",100%
181,Al Gareema,"$167,833",-,-,"$167,833",100%
182,Son of India,"$160,723",-,-,"$160,723",100%
183,Malazgirt 1071,"$159,223",-,-,"$159,223",100%
184,Hall,"$157,787",-,-,"$157,787",100%
185,Anka,"$152,402",-,-,"$152,402",100%
186,Arthur Rambo,"$149,028",-,-,"$149,028",100%
187,Jane by Charlotte,"$146,599","$13,447",9.2%,"$133,152",90.8%
188,Pups Alone,"$146,178",-,-,"$146,178",100%
189,Facing Monsters,"$144,309",-,-,"$144,309",100%
190,Stop-Zemlia,"$143,434",-,-,"$143,434",100%
191,Listeners: The Whispering,"$139,524",-,-,"$139,524",100%
192,Small Body,"$137,030",-,-,"$137,030",100%
193,Rhino,"$129,860",-,-,"$129,860",100%
194,Gold,"$129,480","$84,459",65.2%,"$45,021",34.8%
195,Only Fools Rush In,"$128,846","$82,842",64.3%,"$46,004",35.7%
196,Gamestop: Rise of the Players,"$126,297","$126,297",100%,-,-
197,Lady of Guadalupe,"$125,883",-,-,"$125,883",100%
198,Casablanca 2021 Re-release,"$121,326","$111,298",91.7%,"$10,028",8.3%
199,Leonora addio,"$119,503",-,-,"$119,503",100%
200,Kernagis,"$118,274",-,-,"$118,274",100%
