Rank,Release Group,Worldwide,Domestic,%,Foreign,%
109,After We Fell,"$21,584,600","$2,170,750",10.1%,"$19,413,850",89.9%
110,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
111,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
112,Stillwater,"$19,697,881","$14,465,535",73.4%,"$5,232,346",26.6%
113,Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%
114,Dear Evan Hansen,"$19,023,625","$15,002,646",78.9%,"$4,020,979",21.1%
115,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
116,The Green Knight,"$18,888,418","$17,173,321",90.9%,"$1,715,097",9.1%
117,Antlers,"$18,867,659","$10,619,670",56.3%,"$8,247,989",43.7%
118,Sinkhole,"$18,804,231",-,-,"$18,804,231",100%
119,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
120,Parallel Mothers,"$18,277,635","$2,139,691",11.7%,"$16,137,944",88.3%
121,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
122,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
123,The Dry,"$17,392,594","$364,237",2.1%,"$17,028,357",97.9%
124,Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%
125,Railway Heroes,"$17,223,542",-,-,"$17,223,542",100%
126,The Wolf and the Lion,"$16,144,993","$1,700,473",10.5%,"$14,444,520",89.5%
127,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
128,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
129,Your Turn to Kill,"$15,476,242",-,-,"$15,476,242",100%
130,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
131,Minari,"$15,322,552","$3,110,580",20.3%,"$12,211,972",79.7%
132,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
133,Anita,"$15,026,604","$556,632",3.7%,"$14,469,972",96.3%
134,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
135,"And, the Baton Was Passed","$14,368,469",-,-,"$14,368,469",100%
136,Cry Macho,"$14,340,402","$10,310,734",71.9%,"$4,029,668",28.1%
137,99.9 Criminal Lawyer: The Movie,"$14,269,321",-,-,"$14,269,321",100%
